Time (s),Real Altitude (m),Real Velocity (m/s),Real Acceleration (m/s^2),Analytical Altitude (m),Analytical Velocity (m/s),Analytical Acceleration (m/s^2),Explicit Euler Altitude (m),Explicit Euler Velocity (m/s),Explicit Euler Acceleration (m/s^2),RK4 Altitude (m),RK4 Velocity (m/s),RK4 Acceleration (m/s^2),,,,
0,0.11596881,0.057805404,26.204863,0,0,107.63935,,,,,,,,,,
0.001,0.110697501,0.109158816,28.50669455,5.38E-05,0.107639341,107.6393239,0.010094358,0.094358052,94.3580522,0.01,0.094366044,94.35270538,,,Method,Apogee (m)
0.002,0.105426192,0.160512229,30.80852609,0.000215279,0.21527863,107.6392454,0.010283079,0.188721413,94.36336085,0.010094366,0.188732069,94.35264652,,,Real,254.0199842
0.003,0.100154883,0.211865641,33.11035764,0.000484377,0.322917815,107.6391147,0.01056617,0.283090045,94.36863185,0.010283098,0.283098037,95.59707967,,,Analytical,257.365209
0.004,0.094883574,0.263219053,35.41218918,0.000861114,0.430556842,107.6389317,0.010944878,0.37870876,95.61871552,0.010566196,0.378708761,96.8414715,,,Exp Euler,260.5417144
0.005,0.089612265,0.314572466,37.71402073,0.001345491,0.538195661,107.6386965,0.011420456,0.475577714,96.86895359,0.010944905,0.475564205,98.08582044,,,RK4,257.0991246
0.006,0.084340955,0.365925878,40.01585227,0.001937505,0.645834218,107.6384089,0.011994153,0.573697061,98.11934683,0.011420469,0.57366433,99.33012491,,,,
0.007,0.079069646,0.417279291,42.31768382,0.002637159,0.753472461,107.6380691,0.01266722,0.673066957,99.36989601,0.011994133,0.673009097,100.5743833,,,,
0.008,0.073798337,0.468632703,44.61951536,0.00344445,0.861110339,107.637677,0.013440908,0.773687559,100.6206019,0.012667143,0.773598465,101.8185939,,,,
0.009,0.068527028,0.519986115,46.92134691,0.004359379,0.968747798,107.6372326,0.014316467,0.875559024,101.8714651,0.013440741,0.875432392,102.4166614,,,,
0.01,0.063255719,0.571339528,49.22317845,0.005381946,1.076384786,107.636736,0.015294502,0.978035039,102.4760154,0.014316173,0.97786456,103.0146806,,,,
0.011,0.05798441,0.62269294,51.52501,0.006512149,1.184021252,107.636187,0.016375617,1.081115658,103.0806185,0.015294038,1.080894925,103.6126508,,,,
0.012,0.0527131,0.685115845,53.33564455,0.007749988,1.291657143,107.6355858,0.017560418,1.184800932,103.6852741,0.016374933,1.184523438,104.210571,,,,
0.013,0.04744179,0.747538751,55.14627909,0.009095463,1.399292407,107.6349323,0.018849509,1.289090914,104.289982,0.017559456,1.288750052,104.8084406,,,,
